PartitionKey,RowKey,Postnr,Id
Å,ÅKERBÄRSTIGEN 21 ÄLVSJÖ,12556,2126
B,BIFROSTVÄGEN 12 SPÅNGA,16355,4103
B,BIFROSTVÄGEN 14 SPÅNGA,16355,4103
B,BIFROSTVÄGEN 16 SPÅNGA,16355,4103
B,BIFROSTVÄGEN 2 SPÅNGA,16355,4103
D,DROTTNINGGATAN 66 STOCKHOLM,11121,103
D,DROTTNINGGATAN 68 STOCKHOLM,11121,103
D,DROTTNINGGATAN 70 STOCKHOLM,11121,103
F,FÅGELHUNDSGATAN 10 STOCKHOLM,11545,914
F,FÅGELHUNDSGATAN 6 STOCKHOLM,11545,914
F,FÅGELHUNDSGATAN 8 STOCKHOLM,11545,914
F,FILIPSTADSBACKEN 56 FARSTA,12343,2518
F,FILIPSTADSBACKEN 58 FARSTA,12343,2518
F,FILIPSTADSBACKEN 60 FARSTA,12343,2518
F,FILIPSTADSBACKEN 62 FARSTA,12343,2518
F,FILIPSTADSBACKEN 64 FARSTA,12343,2518
F,FILIPSTADSBACKEN 66 FARSTA,12343,2518
F,FILIPSTADSBACKEN 68 FARSTA,12343,2518
F,FILIPSTADSBACKEN 70 FARSTA,12343,2518
G,GAMLA BROGATAN 11 STOCKHOLM,11120,103
G,GAMLA BROGATAN 9 STOCKHOLM,11120,103
H,HÖGVILTSGATAN 10 STOCKHOLM,11545,914
H,HÖGVILTSGATAN 12 STOCKHOLM,11545,914
H,HÖGVILTSGATAN 14 STOCKHOLM,11545,914
H,HÖGVILTSGATAN 16 STOCKHOLM,11545,914
H,HÖGVILTSGATAN 6 STOCKHOLM,11545,914
H,HÖGVILTSGATAN 8 STOCKHOLM,11545,914
J,JAKTGATAN 11 STOCKHOLM,11545,914
J,JAKTGATAN 17 STOCKHOLM,11545,914
J,JAKTGATAN 19 STOCKHOLM,11545,914
J,JAKTGATAN 3 STOCKHOLM,11545,914
J,JAKTGATAN 5 STOCKHOLM,11545,914
J,JAKTGATAN 7 STOCKHOLM,11545,914
J,JAKTGATAN 9 STOCKHOLM,11545,914
K,KANSLERSVÄGEN 10 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 12 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 14 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 16 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 18 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 20 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 22 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 24 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 26 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 28 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 30 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 32 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 34 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 36 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 6 SKARPNÄCK,12838,3607
K,KANSLERSVÄGEN 8 SKARPNÄCK,12838,3607
K,KASTANJEVÄGEN 13 ÄLVSJÖ,12552,2111
K,KASTANJEVÄGEN 15 ÄLVSJÖ,12552,2111
K,KASTANJEVÄGEN 17 ÄLVSJÖ,12552,2111
K,KASTANJEVÄGEN 19 ÄLVSJÖ,12552,2111
K,KASTANJEVÄGEN 21 ÄLVSJÖ,12552,2111
K,KILLINGBRINKEN 2 HÄSSELBY,16571,3819
K,KILLINGBRINKEN 4 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 11 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 12 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 17 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 18 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 21 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 22 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 23 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 26 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 27 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 28 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 29 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 31 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 33 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 8 HÄSSELBY,16571,3819
L,LAMBARÖVÄGEN 9 HÄSSELBY,16571,3819
L,LÅNGBRODALSVÄGEN 110 ÄLVSJÖ,12557,2126
L,LÅNGBRODALSVÄGEN 112 ÄLVSJÖ,12557,2126
L,LIDKÖPINGSVÄGEN 1 JOHANNESHOV,12139,3614
L,LIDKÖPINGSVÄGEN 25 JOHANNESHOV,12139,3614
L,LIDKÖPINGSVÄGEN 27 JOHANNESHOV,12139,3614
L,LIDKÖPINGSVÄGEN 29 JOHANNESHOV,12139,3614
L,LIDKÖPINGSVÄGEN 3 JOHANNESHOV,12139,3614
L,LIDKÖPINGSVÄGEN 31 JOHANNESHOV,12139,3614
L,LIDKÖPINGSVÄGEN 3A JOHANNESHOV,12139,3614
L,LIDKÖPINGSVÄGEN 56 JOHANNESHOV,12139,3616
L,LIDKÖPINGSVÄGEN 58 JOHANNESHOV,12139,3616
L,LIDKÖPINGSVÄGEN 60 JOHANNESHOV,12139,3616
L,LIDKÖPINGSVÄGEN 62 JOHANNESHOV,12139,3616
L,LIDKÖPINGSVÄGEN 64 JOHANNESHOV,12139,3616
L,LIDKÖPINGSVÄGEN 66 JOHANNESHOV,12139,3616
L,LÖVÅNGERSGATAN 10 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 11 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 12 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 13 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 14 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 15 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 16 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 17 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 18 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 19 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 20 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 21 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 22 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 23 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 24 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 25 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 27 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 29 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 3 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 31 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 33 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 35 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 37 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 39 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 4 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 41 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 5 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 6 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 7 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 8 VÄLLINGBY,16263,3101
L,LÖVÅNGERSGATAN 9 VÄLLINGBY,16263,3101
M,MÄLARSYN 4 HÄSSELBY,16571,3819
P,PATERNOSTERVÄGEN 61 JOHANNESHOV,12149,3616
P,PATERNOSTERVÄGEN 63 JOHANNESHOV,12149,3616
P,PATERNOSTERVÄGEN 65 JOHANNESHOV,12149,3616
P,PATERNOSTERVÄGEN 67 JOHANNESHOV,12149,3616
P,PATERNOSTERVÄGEN 69 JOHANNESHOV,12149,3616
P,PATERNOSTERVÄGEN 71 JOHANNESHOV,12149,3616
R,RIKSRÅDSVÄGEN 109 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 111 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 113 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 115 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 117 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 33 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 35 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 37 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 39 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 41 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 43 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 45 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 47 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 49 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 51 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 53 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 55 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 57 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 59 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 61 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 63 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 65 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 67 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 69 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 71 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 73 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 75 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 77 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 79 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 81 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 83 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 85 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 87 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 89 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 91 SKARPNÄCK,12839,3607
R,RIKSRÅDSVÄGEN 93 SKARPNÄCK,12839,3607
S,SLÖJDGATAN 11 STOCKHOLM,11157,103
S,SLÖJDGATAN 7 STOCKHOLM,11157,103
S,SLÖJDGATAN 9 STOCKHOLM,11157,103
S,SLUSSPLAN 11 STOCKHOLM,11130,102
S,SLUSSPLAN 5 STOCKHOLM,11130,102
S,SLUSSPLAN 7 STOCKHOLM,11130,102
S,SLUSSPLAN 9 STOCKHOLM,11130,102
S,SNIGELVÄGEN 3 ÄLVSJÖ,12557,2126
S,SÖDRA DRYCKESGRÄND 1 STOCKHOLM,11130,102
S,SOLVARGSSTIGEN 19 SPÅNGA,16355,4103
S,SPÅNGAVÄGEN 353 SPÅNGA,16355,4103
S,SPÅNGAVÄGEN 357 SPÅNGA,16355,4103
S,SPÅNGAVÄGEN 359 SPÅNGA,16355,4103
S,SPÅNGAVÄGEN 361 SPÅNGA,16355,4103
S,SPÅNGAVÄGEN 363 SPÅNGA,16355,4103
S,SPÅNGAVÄGEN 365 SPÅNGA,16355,4103
S,SPÅNGAVÄGEN 367 SPÅNGA,16355,4103
S,STATSRÅDSVÄGEN 14 SKARPNÄCK,12838,3607
S,SVARTLÖSAVÄGEN 215 ÄLVSJÖ,12552,2111
S,SVARTLÖSAVÄGEN 217 ÄLVSJÖ,12552,2111
S,SVARTLÖSAVÄGEN 219 ÄLVSJÖ,12552,2111
S,SVARTLÖSAVÄGEN 219A ÄLVSJÖ,12552,2111
S,SVARTLÖSAVÄGEN 221A ÄLVSJÖ,12552,2111
S,SVARTLÖSAVÄGEN 221B ÄLVSJÖ,12552,2111
S,SVARTLÖSAVÄGEN 223 ÄLVSJÖ,12552,2111
T,TALMANSGRÄND 3 SKARPNÄCK,12838,3607
T,TALMANSGRÄND 3A SKARPNÄCK,12838,3607
T,TALMANSGRÄND 3B SKARPNÄCK,12838,3607
T,TALMANSGRÄND 3C SKARPNÄCK,12838,3607
T,TORNEDALSGATAN 4 VÄLLINGBY,16263,3101
V,VALNÖTSVÄGEN 13 ÄLVSJÖ,12552,2111
V,VALNÖTSVÄGEN 15 ÄLVSJÖ,12552,2111
V,VÅRDKASEVÄGEN 34 ÄLVSJÖ,12552,2111
V,VÅRDKASEVÄGEN 36 ÄLVSJÖ,12552,2111
V,VÅRDKASEVÄGEN 38 ÄLVSJÖ,12552,2111
W,WENSTRÖMSVÄGEN 5 STOCKHOLM,11543,910
W,WENSTRÖMSVÄGEN 7 STOCKHOLM,11543,910
W,WENSTRÖMSVÄGEN 9 STOCKHOLM,11543,910
